InChIKey,E_cation,E_neutral,dft_deprot_kcal
AQXIPXMLEAKKDW-UHFFFAOYSA-N,-3327.929465638457,-3327.5248902479498,247.5947
BCETYSHVDDIVNJ-UHFFFAOYSA-N,-851.6985582179849,-851.2447517995176,278.4876
BWTQRRQPCBIJKW-UHFFFAOYSA-N,-994.4361499025847,-994.0275758916018,250.1039
BXWITLDGCLLZPP-UHFFFAOYSA-N,-810.0031825949961,-809.5873126097079,254.6822
BXXGFWPLCBMSEI-UHFFFAOYSA-N,-779.5737527684448,-779.1560215907961,255.8501
CLFLZQHWGVSDIQ-UHFFFAOYSA-N,-1052.7675098666166,-1052.360587081366,249.0677
CLRLMJJCBKYVGD-UHFFFAOYSA-N,-626.0092496082232,-625.5881580241444,257.9588
CNIMHAKPOAIWDV-UHFFFAOYSA-N,-493.02952025719975,-492.5802804982956,275.622
GFQVFGWAZBUWPJ-UHFFFAOYSA-N,-768.2807256588485,-767.83090453439,275.9868
GXGYDOXFZOXCPP-UHFFFAOYSA-N,-831.5472198279302,-831.1509727539462,242.3686
HGNVWYHQJBRWIG-UHFFFAOYSA-N,-1016.7236820807705,-1016.2971109154217,261.3972
IRQWYWISPUGHHU-UHFFFAOYSA-N,-719.3548516889906,-718.9396095491719,254.2882
IYLKZOOSIORTQE-UHFFFAOYSA-N,-1053.3964806329116,-1052.9690180474324,261.9566
JAHSSJUHRBIEPX-UHFFFAOYSA-N,-648.0431131450333,-647.6055168539058,268.3156
JRPJVVPVLPZVIH-UHFFFAOYSA-N,-921.589651026224,-921.1895439181741,244.7908
JYIHYPCEOIXCIG-UHFFFAOYSA-N,-3121.9133000536312,-3121.5052499988383,249.7751
KNJZNOWNRASAAD-UHFFFAOYSA-N,-2916.346822509655,-2915.9236755063544,259.2486
KQGKQLUVALPKDG-UHFFFAOYSA-N,-536.85065049815,-536.4173897740708,265.595
LARJHTUDBSSHOM-UHFFFAOYSA-N,-404.1757244467271,-403.7496179791302,261.1056
LEUHWGGEZSWINW-UHFFFAOYSA-N,-1068.6975480342428,-1068.2555189561747,271.0972
LXRSNUBVOFURAK-UHFFFAOYSA-N,-741.3213656813147,-740.9004398140171,257.8548
NRDGSSITTSWVJY-UHFFFAOYSA-N,-1064.7915763883996,-1064.3934610037422,243.541
OWDJBEAIUGONGX-UHFFFAOYSA-N,-1015.3569664000497,-1014.9581896259194,243.956
PMACGGXUCJDLRD-UHFFFAOYSA-N,-1410.7768588807044,-1410.3518855711286,260.3946
PVZUKIQBEJVNGG-UHFFFAOYSA-N,-1518.89894002489,-1518.4785460562725,257.521
QKVFBKBRRCMFDQ-UHFFFAOYSA-N,-1291.0359897560936,-1290.6130261665623,259.1335
QKWIYJPFUOXAMV-UHFFFAOYSA-N,-1011.3059503626022,-1010.8991922927747,248.9643
RZSWWUPPXFHUMP-UHFFFAOYSA-N,-1248.8039610207331,-1248.3850348855576,256.5999
VLFUROUWDFYYOP-UHFFFAOYSA-N,-808.6003844923753,-808.1434848688552,280.4286
WZMYTBMHOGSGPJ-UHFFFAOYSA-N,-903.1621679995806,-902.7335963296695,262.6526
XGRYENLJQVHGDN-UHFFFAOYSA-N,-1023.1742972397736,-1022.771557947365,246.4425
XOCPCUGJJWTATJ-UHFFFAOYSA-N,-3169.3820613781977,-3168.936997204815,273.0018
YPDLOEXNZVLTHH-UHFFFAOYSA-N,-1061.721165571776,-1061.2912907753075,263.4703
YUCHAYWRZACOHI-UHFFFAOYSA-N,-522.0549237551224,-521.6235908141724,264.3853
ZMKSVFXZNGTFHF-UHFFFAOYSA-N,-594.8822695208039,-594.4305503213377,277.1779
