InChIKey,E_cation,G_cation,E_neutral,G_neutral,E_HOMO,E_LUMO,gap_eV,E_HOMO_cation,E_LUMO_cation,gap_cation_eV,E_radical_sp,n_vfreq,freq_computed,success,error
HVVRUQBMAZRKPJ-UHFFFAOYSA-N,-305.03124050058005,-305.03124050058005,-304.5972624279045,-304.5972624279045,-8.609605922942539,2.816160722061411,11.42576664500395,-14.497113813207628,-2.8630833196851815,11.634030493522447,-304.51217427847683,-1,False,True,
VNYHGZAUUQMMDL-UHFFFAOYSA-N,-503.31469746935824,-503.31469746935824,-502.89644170095363,-502.89644170095363,-8.786881150068897,2.984082844968035,11.770963995036933,-14.257137694153124,-3.280783994601634,10.97635369955149,-503.013921995854,-1,False,True,
IPMZWBRHUWBMSP-UHFFFAOYSA-N,-473.2942377908836,-473.2942377908836,-472.8905206521803,-472.8905206521803,-9.48813957400438,0.3812888712325934,9.869428445236974,-14.184649239102919,-4.596598453730482,9.588050785372438,-472.90414783851895,-1,False,True,
RATKDJDMBGPDPZ-UHFFFAOYSA-N,-675.046472020338,-675.046472020338,-674.6692523236842,-674.6692523236842,-10.41494181984943,-1.7542985465535115,8.660643273295918,-14.900127338577887,-5.649339487984364,9.250787850593522,-674.8392592950875,-1,False,True,
PMPUSEWFQVHUNO-UHFFFAOYSA-N,-421.68239921308947,-421.68239921308947,-421.24124367841284,-421.24124367841284,-8.510179213039251,2.1996102281835173,10.709789441222767,-13.710762277111186,-2.5279672427600026,11.182795034351184,-421.25143622532136,-1,False,True,
PUDUFYOWZAQFJU-UHFFFAOYSA-N,-554.3197093174227,-554.3197093174227,-553.8767932905567,-553.8767932905567,-8.123426769733594,2.7194511815803004,10.842877951313895,-12.611522879014677,-2.440326203063377,10.1711966759513,-554.0052107051633,-1,False,True,
CLXFIGGGSODORK-UHFFFAOYSA-N,-705.8349813714783,-705.8349813714783,-705.4107691158016,-705.4107691158016,-9.000054526984114,-0.1597845626045209,8.840269964379592,-14.089433838781066,-4.023103770243521,10.066330068537544,-705.6346963031399,-1,False,True,
PDIYCCLDBKWBTK-UHFFFAOYSA-N,-575.2553098592279,-575.2553098592279,-574.8136015963536,-574.8136015963536,-8.335607907297574,1.603744784642816,9.939352691940389,-12.877487628441608,-2.7784309575537876,10.09905667088782,-574.9288387908279,-1,False,True,
VPAFDQIFHJWCBK-UHFFFAOYSA-N,-725.188117401131,-725.188117401131,-724.7328922703892,-724.7328922703892,-7.747455030282022,1.650255552094878,9.3977105823769,-11.982504415383584,-2.300534473485834,9.68196994189775,-724.9918574728345,-1,False,True,
KDNXGTHUHICKOJ-UHFFFAOYSA-N,-657.4193788582637,-657.4193788582637,-656.9753043098087,-656.9753043098087,-8.591936217140661,2.284356900223161,10.876293117363822,-13.269377936490535,-2.4998583344689855,10.76951960202155,-657.1406989397542,-1,False,True,
RBKFFSUUCLDQER-UHFFFAOYSA-N,-672.2587113694434,-672.2587113694434,-671.8278503905113,-671.8278503905113,-8.911778273050167,1.3529595714235532,10.264737844473721,-13.67813160455479,-3.027170789740568,10.650960814814223,-672.0050668336723,-1,False,True,
HFQMBFOQLKGXEV-UHFFFAOYSA-N,-1133.2379550107407,-1133.2379550107407,-1132.8325649634903,-1132.8325649634903,-9.790811512326561,0.7852905000515895,10.57610201237815,-14.591585297834563,-4.0739891612374235,10.517596136597138,-1133.482670900305,-1,False,True,
CRPRBFHOCLDMMB-UHFFFAOYSA-N,-509.3546225158015,-509.3546225158015,-508.9457368221924,-508.9457368221924,-9.37580968484608,-0.4153629056658422,8.960446779180238,-15.2412965252253,-4.608543812302084,10.632752712923216,-509.0165077802885,-1,False,True,
UVWIHFMAEQJUPG-UHFFFAOYSA-N,-894.4109121966831,-894.4109121966831,-893.9624610046295,-893.9624610046295,-8.396345867970586,2.867605977574441,11.263951845545026,-13.12787767235188,-2.331307305908715,10.796570366443166,-894.3066331964769,-1,False,True,
RMEQTBVGGNKAEQ-UHFFFAOYSA-N,-454.9750997915265,-454.9750997915265,-454.52385298725216,-454.52385298725216,-7.716477299648092,2.6136754590770277,10.33015275872512,-12.503439262516396,-2.291667830931149,10.211771431585248,-454.6026899266409,-1,False,True,
UEGYAKGLWSNMLV-UHFFFAOYSA-N,-1108.4775999952885,-1108.4775999952885,-1108.0477355512232,-1108.0477355512232,-9.01286412649061,1.405763074829045,10.418627201319655,-13.098896781533556,-2.9212404357971393,10.177656345736416,-1108.604198881535,-1,False,True,
SMSKFNFTQZFBLB-UHFFFAOYSA-N,-420.4409904728112,-420.4409904728112,-420.0132322900188,-420.0132322900188,-8.718784297679838,1.4772297422705094,10.196014039950347,-13.633774250458936,-3.974696785124961,9.659077465333976,-420.0110316154071,-1,False,True,
KZYKDQNIIMATMJ-UHFFFAOYSA-N,-636.5066463849678,-636.5066463849678,-636.0675007275555,-636.0675007275555,-8.057019697471771,2.8992157844562216,10.956235481927994,-12.859270115209483,-2.54041097875745,10.318859136452033,-636.2923951957805,-1,False,True,
ACGCNTKELWXJPN-UHFFFAOYSA-N,-456.2492070112114,-456.2492070112114,-455.82526553778933,-455.82526553778933,-8.60976668110065,2.4089629823092755,11.018729663409925,-13.999636268052287,-3.486878593994073,10.512757674058214,-455.87525406411766,-1,False,True,
