ID,SMILES_cation,SMILES_neutral,InChIKey,N1_frag,N3_frag,C4_frag,C5_frag,charge,mult,is_reference,pubchem_hit
IMID-Me-Me-H-H,Cn1cc[n+](C)c1,CN1[C]N(C)C=C1,HVVRUQBMAZRKPJ-UHFFFAOYSA-N,Me,Me,H,H,1,1,True,False
IMID-Me-Me-H-NO2,Cn1cc([N+](=O)[O-])[n+](C)c1,CN1[C]N(C)C([N+](=O)[O-])=C1,CRPRBFHOCLDMMB-UHFFFAOYSA-N,Me,Me,H,NO2,1,1,False,False
IMID-Me-Me-F-F,Cn1c[n+](C)c(F)c1F,CN1[C]N(C)C(F)=C1F,VNYHGZAUUQMMDL-UHFFFAOYSA-N,Me,Me,F,F,1,1,False,False
IMID-Me-Et-NH2-NH2,CCn1c[n+](C)c(N)c1N,CCN1[C]N(C)C(N)=C1N,RMEQTBVGGNKAEQ-UHFFFAOYSA-N,Me,Et,NH2,NH2,1,1,False,False
IMID-Me-nOct-NH2-H,CCCCCCCCn1c[n+](C)cc1N,CCCCCCCCN1[C]N(C)C=C1N,IRCJCNRXJWPRQT-UHFFFAOYSA-N,Me,nOct,NH2,H,1,1,False,False
IMID-Me-Allyl-H-Me,C=CCn1cc(C)[n+](C)c1,C=CCN1[C]N(C)C(C)=C1,PMPUSEWFQVHUNO-UHFFFAOYSA-N,Me,Allyl,H,Me,1,1,False,False
IMID-Me-Ethynyl-OMe-H,C#Cn1c[n+](C)cc1OC,C#CN1[C]N(C)C=C1OC,ACGCNTKELWXJPN-UHFFFAOYSA-N,Me,Ethynyl,OMe,H,1,1,False,False
IMID-Et-iPr-F-OMe,CC[n+]1cn(C(C)C)c(F)c1OC,CCN1[C]N(C(C)C)C(F)=C1OC,KZYKDQNIIMATMJ-UHFFFAOYSA-N,Et,iPr,F,OMe,1,1,False,False
IMID-Et-tBu-NO2-Me,CC[n+]1cn(C(C)(C)C)c([N+](=O)[O-])c1C,CCN1[C]N(C(C)(C)C)C([N+](=O)[O-])=C1C,CLXFIGGGSODORK-UHFFFAOYSA-N,Et,tBu,NO2,Me,1,1,False,False
IMID-Et-Ph-H-Me,CC[n+]1cn(-c2ccccc2)cc1C,CCN1[C]N(c2ccccc2)C=C1C,PDIYCCLDBKWBTK-UHFFFAOYSA-N,Et,Ph,H,Me,1,1,False,False
IMID-nBu-tBu-CN-Me,CCCC[n+]1cn(C(C)(C)C)c(C#N)c1C,CCCCN1[C]N(C(C)(C)C)C(C#N)=C1C,RBKFFSUUCLDQER-UHFFFAOYSA-N,nBu,tBu,CN,Me,1,1,False,False
IMID-nBu-tBu-CN-NO2,CCCC[n+]1cn(C(C)(C)C)c(C#N)c1[N+](=O)[O-],CCCCN1[C]N(C(C)(C)C)C(C#N)=C1[N+](=O)[O-],ZRKGAZHRJTVZGW-UHFFFAOYSA-N,nBu,tBu,CN,NO2,1,1,False,False
IMID-nBu-Ethynyl-CF3-CF3,C#Cn1c[n+](CCCC)c(C(F)(F)F)c1C(F)(F)F,C#CN1[C]N(CCCC)C(C(F)(F)F)=C1C(F)(F)F,HFQMBFOQLKGXEV-UHFFFAOYSA-N,nBu,Ethynyl,CF3,CF3,1,1,False,False
