inchikey,source_group,source_file,source_sha256,stored_target_kcal,formula_absolute_error_kcal
ACGCNTKELWXJPN-UHFFFAOYSA-N,gold,remote_root:data/runs/mol_gold/gold_labels.csv,ba181ef3959bab52842fd396080ba1acf0f9111b59303a0f6050eadeba1e6d9e,259.7472909939075,0.0
AQXIPXMLEAKKDW-UHFFFAOYSA-N,blind_round2,legacy_repo:reports/part1-blind-round2-2026-07-09/deltaE_final.csv,4c457f12363c44698279f0dc43e85a6933bc3bae0c4a9a807a35398cfe84eb5b,247.5947,0.0001904904135869856
BCETYSHVDDIVNJ-UHFFFAOYSA-N,blind_round2,legacy_repo:reports/part1-blind-round2-2026-07-09/deltaE_final.csv,4c457f12363c44698279f0dc43e85a6933bc3bae0c4a9a807a35398cfe84eb5b,278.4876,0.00022695020925311837
BPLJOFIEDPGSTN-UHFFFAOYSA-N,blind_round1,legacy_repo:reports/part1-dft-gold-validation-2026-07-06/blind_test_comparison.csv,f353d3e9882a420c68595ee679869749026c166b1516bc13045963d74c204f62,252.9301284597727,0.00019579894609478288
BQRSYQJKWJCFDW-UHFFFAOYSA-N,blind_round1,legacy_repo:reports/part1-dft-gold-validation-2026-07-06/blind_test_comparison.csv,f353d3e9882a420c68595ee679869749026c166b1516bc13045963d74c204f62,248.48625666000316,0.00019244218910330346
BWTQRRQPCBIJKW-UHFFFAOYSA-N,blind_round2,legacy_repo:reports/part1-blind-round2-2026-07-09/deltaE_final.csv,4c457f12363c44698279f0dc43e85a6933bc3bae0c4a9a807a35398cfe84eb5b,250.1039,0.0001627219339468411
BXWITLDGCLLZPP-UHFFFAOYSA-N,blind_round2,legacy_repo:reports/part1-blind-round2-2026-07-09/deltaE_final.csv,4c457f12363c44698279f0dc43e85a6933bc3bae0c4a9a807a35398cfe84eb5b,254.6822,0.00015572063750823872
BXXGFWPLCBMSEI-UHFFFAOYSA-N,blind_round2,legacy_repo:reports/part1-blind-round2-2026-07-09/deltaE_final.csv,4c457f12363c44698279f0dc43e85a6933bc3bae0c4a9a807a35398cfe84eb5b,255.8501,0.0001715597747704578
BZYJWHWJODWHJL-UHFFFAOYSA-N,blind_round1,legacy_repo:reports/part1-dft-gold-validation-2026-07-06/blind_test_comparison.csv,f353d3e9882a420c68595ee679869749026c166b1516bc13045963d74c204f62,258.97835138833483,0.00020036757808838956
CLFLZQHWGVSDIQ-UHFFFAOYSA-N,blind_round2,legacy_repo:reports/part1-blind-round2-2026-07-09/deltaE_final.csv,4c457f12363c44698279f0dc43e85a6933bc3bae0c4a9a807a35398cfe84eb5b,249.0677,0.00020293120130077114
CLRLMJJCBKYVGD-UHFFFAOYSA-N,blind_round2,legacy_repo:reports/part1-blind-round2-2026-07-09/deltaE_final.csv,4c457f12363c44698279f0dc43e85a6933bc3bae0c4a9a807a35398cfe84eb5b,257.9588,0.00015843111128788223
CLXFIGGGSODORK-UHFFFAOYSA-N,gold,remote_root:data/runs/mol_gold/gold_labels.csv,ba181ef3959bab52842fd396080ba1acf0f9111b59303a0f6050eadeba1e6d9e,259.917209424044,0.0
CNIMHAKPOAIWDV-UHFFFAOYSA-N,blind_round2,legacy_repo:reports/part1-blind-round2-2026-07-09/deltaE_final.csv,4c457f12363c44698279f0dc43e85a6933bc3bae0c4a9a807a35398cfe84eb5b,275.622,0.00020480981584114488
CRPRBFHOCLDMMB-UHFFFAOYSA-N,gold,remote_root:data/runs/mol_gold/gold_labels.csv,ba181ef3959bab52842fd396080ba1acf0f9111b59303a0f6050eadeba1e6d9e,250.29964652279412,0.0
