inchikey,n1_frag,n3_frag,c4_frag,c5_frag,smiles_cation,smiles_neutral
AAMFEMJKIQOSEU-UHFFFAOYSA-N,Et,Ethynyl,CF3,Me,C#Cn1c[n+](CC)c(C)c1C(F)(F)F,C#CN1[C]N(CC)C(C)=C1C(F)(F)F
AAQNHKTVTZOBKJ-UHFFFAOYSA-N,Et,Et,F,CN,CCn1c[n+](CC)c(C#N)c1F,CCN1[C]N(CC)C(C#N)=C1F
AARYEDQIJTWXGH-UHFFFAOYSA-N,Me,Vinyl,F,NH2,C=Cn1c[n+](C)c(N)c1F,C=CN1[C]N(C)C(N)=C1F
AAULNFIWRPQCRP-UHFFFAOYSA-N,Et,Ethynyl,OMe,OMe,C#Cn1c[n+](CC)c(OC)c1OC,C#CN1[C]N(CC)C(OC)=C1OC
ABDQQZDJEAXYIP-UHFFFAOYSA-N,nBu,iPr,CF3,NH2,CCCC[n+]1cn(C(C)C)c(C(F)(F)F)c1N,CCCCN1[C]N(C(C)C)C(C(F)(F)F)=C1N
ABJGAQHFXIQLFD-UHFFFAOYSA-N,nBu,tBu,CN,CF3,CCCC[n+]1cn(C(C)(C)C)c(C#N)c1C(F)(F)F,CCCCN1[C]N(C(C)(C)C)C(C#N)=C1C(F)(F)F
ACBHXPFCLFIGDJ-UHFFFAOYSA-N,Me,Ph,NO2,NO2,C[n+]1cn(-c2ccccc2)c([N+](=O)[O-])c1[N+](=O)[O-],CN1[C]N(c2ccccc2)C([N+](=O)[O-])=C1[N+](=O)[O-]
ACGCNTKELWXJPN-UHFFFAOYSA-N,Me,Ethynyl,OMe,H,C#Cn1c[n+](C)cc1OC,C#CN1[C]N(C)C=C1OC
ADHDUMPOTFLJJZ-UHFFFAOYSA-N,Et,tBu,CN,F,CC[n+]1cn(C(C)(C)C)c(C#N)c1F,CCN1[C]N(C(C)(C)C)C(C#N)=C1F
ADPCUISWEIYRPX-UHFFFAOYSA-N,Et,Propargyl,F,OMe,C#CCn1c[n+](CC)c(OC)c1F,C#CCN1[C]N(CC)C(OC)=C1F
AETSDHHLGCWPKI-UHFFFAOYSA-N,Ethynyl,Propargyl,OMe,OMe,C#CCn1c[n+](C#C)c(OC)c1OC,C#CCN1[C]N(C#C)C(OC)=C1OC
AETUXZLPTDVTDL-UHFFFAOYSA-N,Ethynyl,Ph,F,H,C#C[n+]1cc(F)n(-c2ccccc2)c1,C#CN1[C]N(c2ccccc2)C(F)=C1
AFGBQXBRIZSINR-UHFFFAOYSA-N,Et,Ethynyl,OMe,NH2,C#Cn1c[n+](CC)c(N)c1OC,C#CN1[C]N(CC)C(N)=C1OC
AGBSGFUNFYHKNF-UHFFFAOYSA-N,Vinyl,Allyl,OMe,NH2,C=CCn1c[n+](C=C)c(N)c1OC,C=CCN1[C]N(C=C)C(N)=C1OC
AGKHENBYDQNGMT-UHFFFAOYSA-N,Me,Et,F,H,CCn1c[n+](C)cc1F,CCN1[C]N(C)C=C1F
AHIAZDXTALOGKP-UHFFFAOYSA-N,Me,Ethynyl,NO2,CN,C#Cn1c[n+](C)c(C#N)c1[N+](=O)[O-],C#CN1[C]N(C)C(C#N)=C1[N+](=O)[O-]
AHMKCSZRXAAEPJ-UHFFFAOYSA-N,tBu,Vinyl,CN,F,C=Cn1c[n+](C(C)(C)C)c(F)c1C#N,C=CN1[C]N(C(C)(C)C)C(F)=C1C#N
AHVKDBNGFWJDRG-UHFFFAOYSA-N,Vinyl,Ph,F,CN,C=C[n+]1cn(-c2ccccc2)c(F)c1C#N,C=CN1[C]N(c2ccccc2)C(F)=C1C#N
AHYJHYMIQPSWQH-UHFFFAOYSA-N,nBu,Allyl,CF3,Me,C=CCn1c[n+](CCCC)c(C)c1C(F)(F)F,C=CCN1[C]N(CCCC)C(C)=C1C(F)(F)F
AHZYMXCKDSOVLL-UHFFFAOYSA-N,tBu,Ph,CF3,CN,CC(C)(C)[n+]1cn(-c2ccccc2)c(C(F)(F)F)c1C#N,CC(C)(C)N1[C]N(c2ccccc2)C(C(F)(F)F)=C1C#N
AJEXNHPRTARHTN-UHFFFAOYSA-N,Me,tBu,CF3,NO2,C[n+]1cn(C(C)(C)C)c(C(F)(F)F)c1[N+](=O)[O-],CN1[C]N(C(C)(C)C)C(C(F)(F)F)=C1[N+](=O)[O-]
AJMHFTZMWZFKGC-UHFFFAOYSA-N,nBu,tBu,NO2,Me,CCCC[n+]1cn(C(C)(C)C)c([N+](=O)[O-])c1C,CCCCN1[C]N(C(C)(C)C)C([N+](=O)[O-])=C1C
AJNMVVMRULOJFJ-UHFFFAOYSA-N,Me,tBu,H,NO2,C[n+]1cn(C(C)(C)C)cc1[N+](=O)[O-],CN1[C]N(C(C)(C)C)C=C1[N+](=O)[O-]
AJPVXNVXIOUWLJ-UHFFFAOYSA-N,Et,Vinyl,F,CF3,C=Cn1c[n+](CC)c(C(F)(F)F)c1F,C=CN1[C]N(CC)C(C(F)(F)F)=C1F
AJSKKTXZGAKOJK-UHFFFAOYSA-N,tBu,Ethynyl,F,F,C#Cn1c[n+](C(C)(C)C)c(F)c1F,C#CN1[C]N(C(C)(C)C)C(F)=C1F
AJWACROYKVVCIC-UHFFFAOYSA-N,Vinyl,Ethynyl,OMe,CF3,C#Cn1c[n+](C=C)c(C(F)(F)F)c1OC,C#CN1[C]N(C=C)C(C(F)(F)F)=C1OC
AJXWZDPSCGKSSB-UHFFFAOYSA-N,Me,Propargyl,OMe,NH2,C#CCn1c[n+](C)c(N)c1OC,C#CCN1[C]N(C)C(N)=C1OC
AKCVHAOYAYBNIW-UHFFFAOYSA-N,Vinyl,Ph,H,CF3,C=C[n+]1cn(-c2ccccc2)cc1C(F)(F)F,C=CN1[C]N(c2ccccc2)C=C1C(F)(F)F
AKFDTSQAHSUNHF-UHFFFAOYSA-N,nBu,Ph,OMe,CN,CCCC[n+]1cn(-c2ccccc2)c(OC)c1C#N,CCCCN1[C]N(c2ccccc2)C(OC)=C1C#N
AKNIGSWZPYMGJE-UHFFFAOYSA-N,tBu,Vinyl,NO2,H,C=Cn1c[n+](C(C)(C)C)cc1[N+](=O)[O-],C=CN1[C]N(C(C)(C)C)C=C1[N+](=O)[O-]
AKPFRWMCZJKGMD-UHFFFAOYSA-N,Et,Vinyl,OMe,F,C=Cn1c[n+](CC)c(F)c1OC,C=CN1[C]N(CC)C(F)=C1OC
AKUYERLQUNIDFZ-UHFFFAOYSA-N,tBu,Ethynyl,F,NO2,C#Cn1c[n+](C(C)(C)C)c([N+](=O)[O-])c1F,C#CN1[C]N(C(C)(C)C)C([N+](=O)[O-])=C1F
ALDDEXDUDSDIID-UHFFFAOYSA-N,tBu,Ethynyl,H,CN,C#Cn1cc(C#N)[n+](C(C)(C)C)c1,C#CN1[C]N(C(C)(C)C)C(C#N)=C1
ALRXQXGZTPCUAL-UHFFFAOYSA-N,Et,Propargyl,CN,NO2,C#CCn1c[n+](CC)c([N+](=O)[O-])c1C#N,C#CCN1[C]N(CC)C([N+](=O)[O-])=C1C#N
ALXQAADFININHR-UHFFFAOYSA-N,Me,Propargyl,CN,CF3,C#CCn1c[n+](C)c(C(F)(F)F)c1C#N,C#CCN1[C]N(C)C(C(F)(F)F)=C1C#N
ALZABJUGMRYLEG-UHFFFAOYSA-N,tBu,Ph,CN,NO2,CC(C)(C)[n+]1cn(-c2ccccc2)c(C#N)c1[N+](=O)[O-],CC(C)(C)N1[C]N(c2ccccc2)C(C#N)=C1[N+](=O)[O-]
AMUBDBUFMDUQGZ-UHFFFAOYSA-N,Et,Ethynyl,CN,H,C#Cn1c[n+](CC)cc1C#N,C#CN1[C]N(CC)C=C1C#N
AMUYLDYINWNHHU-UHFFFAOYSA-N,nBu,iPr,F,NO2,CCCC[n+]1cn(C(C)C)c(F)c1[N+](=O)[O-],CCCCN1[C]N(C(C)C)C(F)=C1[N+](=O)[O-]
AMYALMRHPODXKI-UHFFFAOYSA-N,tBu,Ph,OMe,CN,COc1c(C#N)[n+](C(C)(C)C)cn1-c1ccccc1,COC1=C(C#N)N(C(C)(C)C)[C]N1c1ccccc1
ANGBFHFIYMRUCX-UHFFFAOYSA-N,Vinyl,Propargyl,CN,NO2,C#CCn1c[n+](C=C)c([N+](=O)[O-])c1C#N,C#CCN1[C]N(C=C)C([N+](=O)[O-])=C1C#N
ANHARAMRAZIRHA-UHFFFAOYSA-N,Et,Ethynyl,NH2,H,C#Cn1c[n+](CC)cc1N,C#CN1[C]N(CC)C=C1N
ANJYXHIBHZXLJC-UHFFFAOYSA-N,nBu,Vinyl,NO2,NO2,C=Cn1c[n+](CCCC)c([N+](=O)[O-])c1[N+](=O)[O-],C=CN1[C]N(CCCC)C([N+](=O)[O-])=C1[N+](=O)[O-]
AOCDNEAENDSDNX-UHFFFAOYSA-N,Vinyl,Ethynyl,H,NO2,C#Cn1cc([N+](=O)[O-])[n+](C=C)c1,C#CN1[C]N(C=C)C([N+](=O)[O-])=C1
AORCRLWAMCJHJO-UHFFFAOYSA-N,Et,Vinyl,OMe,Me,C=Cn1c[n+](CC)c(C)c1OC,C=CN1[C]N(CC)C(C)=C1OC
AOSUOWKZROQBMB-UHFFFAOYSA-N,Me,Allyl,OMe,CN,C=CCn1c[n+](C)c(C#N)c1OC,C=CCN1[C]N(C)C(C#N)=C1OC
APLFUKUEWUTQCZ-UHFFFAOYSA-N,Me,Et,OMe,F,CCn1c[n+](C)c(F)c1OC,CCN1[C]N(C)C(F)=C1OC
APTVXZBCRXMJLF-UHFFFAOYSA-N,nBu,iPr,F,NH2,CCCC[n+]1cn(C(C)C)c(F)c1N,CCCCN1[C]N(C(C)C)C(F)=C1N
APVJBGYCRUVSDQ-UHFFFAOYSA-N,Me,Vinyl,NO2,F,C=Cn1c[n+](C)c(F)c1[N+](=O)[O-],C=CN1[C]N(C)C(F)=C1[N+](=O)[O-]
